iter	RMSE
0	8.663700663
1	8.642042709
2	8.629945775
3	8.617136606
4	8.60660162
5	8.601125123
6	8.596991713
7	8.593214203
8	8.590227622
9	8.583005658
10	8.578501651
11	8.573883456
12	8.567057691
13	8.563209893
14	8.560656846
15	8.55330633
16	8.550053911
17	8.546942914
18	8.544723535
19	8.542129693
20	8.538318981
21	8.536289811
22	8.533826148
23	8.528691418
24	8.525462834
25	8.522879737
26	8.518575361
27	8.516230085
28	8.513748617
29	8.509634345
30	8.506712644
31	8.503997487
32	8.500742874
33	8.49866477
34	8.496536859
35	8.494027387
36	8.491909003
37	8.487379801
38	8.484745761
39	8.4815699
40	8.47978388
41	8.475638167
42	8.473552818
43	8.471714265
44	8.469312277
45	8.466454962
46	8.464337252
47	8.462843622
48	8.461080888
49	8.45731058
