iter	Passed	Remaining
0	60	2940
1	97	2347
2	137	2158
3	171	1970
4	210	1894
5	247	1813
6	281	1727
7	314	1648
8	350	1596
9	385	1542
10	417	1481
11	456	1444
12	485	1381
13	526	1354
14	561	1310
15	598	1272
16	632	1227
17	670	1191
18	710	1159
19	741	1112
20	774	1069
21	810	1030
22	845	992
23	879	952
24	910	910
25	941	869
26	974	829
27	1007	791
28	1039	752
29	1074	716
30	1109	680
31	1141	642
32	1218	627
33	1251	588
34	1282	549
35	1311	510
36	1344	472
37	1381	436
38	1415	399
39	1456	364
40	1489	326
41	1523	290
42	1559	253
43	1594	217
44	1629	181
45	1667	144
46	1709	109
47	1750	72
48	1792	36
49	1831	0
